ci_question_id,module,version,grade,stream,section,question_type,bloom_level,question_stem,option_a,option_b,option_c,option_d,option_e,correct_option,weightage,time_secs,career_cluster_map,difficulty,is_behavioral,adaptive_trigger,explanation
APG11PCM_CA_01,APTIPATH,V3,GRADE_11_12,PCM,CORE_APTITUDE,MCQ,ANALYZE,"Dataset of student scores: 45 62 78 84 91 55 73 84 67 84. The MODE of this dataset is:","72.3","78","84","73","N/A","C",3,60,"CORRECT=STATISTICS+DATA_SCIENCE","MEDIUM",FALSE,"BOOST_ANALYTICAL","Mode = most frequently occurring value = 84 (appears 3 times). Mode vs Mean vs Median are fundamental statistical measures used in data science and research."
APG11PCM_CA_02,APTIPATH,V3,GRADE_11_12,PCM,CORE_APTITUDE,MCQ,APPLY,"How many 4-digit numbers can be formed using digits 1 2 3 4 5 if no digit is repeated?","60","100","120","125","N/A","C",4,75,"CORRECT=COMBINATORICS+ANALYTICAL","MEDIUM",FALSE,"BOOST_STEM","Permutation = 5 × 4 × 3 × 2 = 120. The number of ordered arrangements of 4 from 5 distinct digits. Combinatorics is essential in algorithms and probability."
APG11PCM_CA_03,APTIPATH,V3,GRADE_11_12,PCM,CORE_APTITUDE,MCQ,ANALYZE,"If α and β are roots of x² - 5x + 6 = 0 then α² + β² equals:","11","13","15","25","N/A","B",5,90,"CORRECT=ALGEBRA_ADVANCED+PCM","HARD",FALSE,"BOOST_STEM+PCM","By Vieta: α+β=5 and αβ=6. α²+β² = (α+β)² - 2αβ = 25 - 12 = 13. This technique is fundamental in JEE Advanced algebra."
APG11PCM_CA_04,APTIPATH,V3,GRADE_11_12,PCM,CORE_APTITUDE,MCQ,APPLY,"Sum of geometric series 1 + 2 + 4 + 8 + ... up to 10 terms is:","511","1022","1023","2046","N/A","C",4,75,"CORRECT=SERIES_MATH+PCM","HARD",FALSE,"BOOST_STEM","S = a(rⁿ-1)/(r-1) = 1×(2¹⁰-1)/(2-1) = 1024-1 = 1023. Geometric series appear in compound interest algorithms and signal processing."
APG11PCM_CA_05,APTIPATH,V3,GRADE_11_12,PCM,CORE_APTITUDE,MCQ,ANALYZE,"If log₂(x) = 5 then log₄(x) equals:","2","2.5","5","10","N/A","B",4,75,"CORRECT=LOGARITHMS+PCM","HARD",FALSE,"BOOST_STEM","x = 2⁵ = 32. log₄(32) = log₄(4^(5/2)) = 5/2 = 2.5. Alternatively: log₄(x) = log₂(x)/log₂(4) = 5/2. Logarithms are the foundation of information theory."
APG11PCM_CA_06,APTIPATH,V3,GRADE_11_12,PCM,CORE_APTITUDE,MCQ,EVALUATE,"Annual revenue data (crores): 2020=100 2021=120 2022=115 2023=140 2024=130. The MOST accurate statement is:","Revenue grew consistently every single year without exception","Revenue showed an overall upward trend with two temporary dips","Revenue peaked in 2021 and has been consistently falling","Revenue is completely random and unpredictable","N/A","B",5,90,"CORRECT=DATA_INTERPRETATION+BUSINESS","HARD",FALSE,"BOOST_ANALYTICAL","Trend analysis: 100→120→115→140→130. Overall trend is upward (net +30) but not monotonic. Identifying trends vs noise is core to data analytics and finance."
APG11PCM_CA_07,APTIPATH,V3,GRADE_11_12,PCM,CORE_APTITUDE,FILL_BLANK,APPLY,"In an arithmetic progression (AP) with first term 7 and common difference 3 the 15th term is ___","49","46","52","42","N/A","A",4,60,"CORRECT=AP_MATH+PCM","MEDIUM",FALSE,"BOOST_STEM","aₙ = a + (n-1)d = 7 + (14)×3 = 7 + 42 = 49. AP formulae are fundamental in sequences and used in algorithm complexity analysis."
APG11PCM_CA_08,APTIPATH,V3,GRADE_11_12,PCM,CORE_APTITUDE,MCQ,ANALYZE,"Two dice are rolled. The probability of the sum being exactly 7 is:","1/4","1/6","1/12","1/3","N/A","B",4,75,"CORRECT=PROBABILITY+DATA_SCIENCE","MEDIUM",FALSE,"BOOST_STEM","Favourable outcomes: (1,6)(2,5)(3,4)(4,3)(5,2)(6,1) = 6. Total outcomes = 36. P = 6/36 = 1/6. Probability is the mathematical foundation of machine learning."
APG11PCM_CA_09,APTIPATH,V3,GRADE_11_12,PCM,CORE_APTITUDE,MCQ,APPLY,"The slope of the line passing through points (2,3) and (4,7) is:","0.5","1","2","4","N/A","C",3,60,"CORRECT=COORDINATE_GEOMETRY+ENGINEERING","MEDIUM",FALSE,"BOOST_STEM","Slope m = (y₂-y₁)/(x₂-x₁) = (7-3)/(4-2) = 4/2 = 2. Slope is the visual representation of rate of change — fundamental to calculus and gradient descent in ML."
APG11PCM_CA_10,APTIPATH,V3,GRADE_11_12,PCM,CORE_APTITUDE,MCQ,ANALYZE,"For dataset: 10 12 14 16 18 — if we add 5 to EVERY value the standard deviation will:","Increase by 5","Increase by 25","Remain exactly unchanged","Double","N/A","C",5,90,"CORRECT=STATISTICS+DATA_SCIENCE","HARD",FALSE,"BOOST_ANALYTICAL","Standard deviation measures spread around the mean. Adding a constant to all values shifts the mean equally — the spread is unchanged. A crucial concept in data normalization."
