ci_question_id,module,version,grade,stream,section,question_type,bloom_level,question_stem,option_a,option_b,option_c,option_d,option_e,correct_option,weightage,time_secs,career_cluster_map,difficulty,is_behavioral,adaptive_trigger,explanation
APG11COM_CA_01,APTIPATH,V3,GRADE_11_12,COMMERCE,CORE_APTITUDE,MCQ,APPLY,"A shopkeeper buys an article for Rs.800 and sells it at 25% profit. The selling price is:","Rs.900","Rs.1000","Rs.1050","Rs.1200","N/A","B",3,60,"CORRECT=PROFIT_LOSS+BUSINESS","MEDIUM",FALSE,"BOOST_ANALYTICAL","SP = CP × (1 + Profit%/100) = 800 × 1.25 = Rs.1000. Profit-loss calculations are fundamental to business accounting and retail management."
APG11COM_CA_02,APTIPATH,V3,GRADE_11_12,COMMERCE,CORE_APTITUDE,MCQ,APPLY,"Rs.50000 is invested at 10% per annum compound interest compounded annually. The amount after 3 years is:","Rs.65000","Rs.66550","Rs.66000","Rs.66500","N/A","B",4,75,"CORRECT=COMPOUND_INTEREST+FINANCE","MEDIUM",FALSE,"BOOST_FINANCE","A = P(1+r/100)ⁿ = 50000(1.10)³ = 50000 × 1.331 = Rs.66550. Compound interest is the foundation of investment banking fixed deposits and loan EMI calculations."
APG11COM_CA_03,APTIPATH,V3,GRADE_11_12,COMMERCE,CORE_APTITUDE,MCQ,ANALYZE,"Company revenue data (in crores): Q1=45 Q2=52 Q3=48 Q4=65. The quarter-over-quarter growth rate from Q3 to Q4 is approximately:","26%","35%","40%","17%","N/A","B",4,75,"CORRECT=DATA_INTERPRETATION+BUSINESS","MEDIUM",FALSE,"BOOST_ANALYTICAL","Growth rate = (Q4-Q3)/Q3 × 100 = (65-48)/48 × 100 = 17/48 × 100 ≈ 35.4%. Quarter-over-quarter growth analysis is fundamental to financial reporting and equity analysis."
APG11COM_CA_04,APTIPATH,V3,GRADE_11_12,COMMERCE,CORE_APTITUDE,MCQ,APPLY,"If the cost price of 15 articles equals the selling price of 12 articles the profit percentage is:","20%","25%","30%","15%","N/A","B",4,75,"CORRECT=PROFIT_LOSS+CA_CS","HARD",FALSE,"BOOST_ANALYTICAL","Let CP per article = x. 15x = 12 × SP. SP = 15x/12 = 5x/4. Profit% = (SP-CP)/CP × 100 = (5x/4 - x)/x × 100 = (x/4)/x × 100 = 25%. Classic CA/IPCC aptitude problem."
APG11COM_CA_05,APTIPATH,V3,GRADE_11_12,COMMERCE,CORE_APTITUDE,MCQ,ANALYZE,"A pie chart shows company expenses: Salaries 35% Rent 20% Marketing 15% Raw Materials 25% Misc 5%. If total expenses are Rs.80 lakh then Marketing expenses are:","Rs.10 lakh","Rs.12 lakh","Rs.15 lakh","Rs.20 lakh","N/A","B",3,60,"CORRECT=DATA_INTERPRETATION+BUSINESS","MEDIUM",FALSE,"BOOST_ANALYTICAL","Marketing = 15% of Rs.80 lakh = 0.15 × 80 = Rs.12 lakh. Pie chart interpretation and expense analysis are core skills for accounting auditing and financial management."
APG11COM_CA_06,APTIPATH,V3,GRADE_11_12,COMMERCE,CORE_APTITUDE,MCQ,APPLY,"A bill of Rs.10000 is discounted at 12% per annum for 3 months. The banker's discount is:","Rs.200","Rs.300","Rs.400","Rs.1200","N/A","B",4,75,"CORRECT=BANKING+FINANCE","HARD",FALSE,"BOOST_FINANCE","Banker's Discount = Face Value × Rate × Time = 10000 × 12/100 × 3/12 = 10000 × 0.12 × 0.25 = Rs.300. Bill discounting is a fundamental banking operation in trade finance."
APG11COM_CA_07,APTIPATH,V3,GRADE_11_12,COMMERCE,CORE_APTITUDE,MCQ,ANALYZE,"Revenue: Year 1=Rs.100 crore Year 2=Rs.120 crore Year 3=Rs.108 crore Year 4=Rs.135 crore. The Compound Annual Growth Rate (CAGR) over 4 years is closest to:","7.5%","10.5%","12%","35%","N/A","B",5,90,"CORRECT=FINANCIAL_ANALYSIS+FINANCE","HARD",FALSE,"BOOST_FINANCE","CAGR = (Final/Initial)^(1/n) - 1 = (135/100)^(1/3) - 1 = 1.35^(0.333) - 1 ≈ 1.105 - 1 = 10.5%. CAGR smooths out volatility to show the steady growth rate. Essential for investment analysis."
APG11COM_CA_08,APTIPATH,V3,GRADE_11_12,COMMERCE,CORE_APTITUDE,MCQ,APPLY,"Three partners A B and C invest Rs.20000 Rs.30000 and Rs.50000 respectively. If the annual profit is Rs.40000 then C's share of profit is:","Rs.8000","Rs.12000","Rs.16000","Rs.20000","N/A","D",4,75,"CORRECT=PARTNERSHIP+BUSINESS","MEDIUM",FALSE,"BOOST_BUSINESS","Profit sharing ratio = Investment ratio = 20:30:50 = 2:3:5. C's share = 5/10 × 40000 = Rs.20000. Partnership profit distribution is a core topic in CA Foundation and business mathematics."
APG11COM_CA_09,APTIPATH,V3,GRADE_11_12,COMMERCE,CORE_APTITUDE,MCQ,APPLY,"A product marked at Rs.2000 is offered at successive discounts of 20% and 10%. The final selling price is:","Rs.1400","Rs.1440","Rs.1500","Rs.1600","N/A","B",4,75,"CORRECT=DISCOUNT+BUSINESS","MEDIUM",FALSE,"BOOST_ANALYTICAL","After 20% discount: 2000 × 0.80 = 1600. After 10% on 1600: 1600 × 0.90 = Rs.1440. Successive discounts are not additive — this is a common error in retail pricing calculations."
APG11COM_CA_10,APTIPATH,V3,GRADE_11_12,COMMERCE,CORE_APTITUDE,MCQ,EVALUATE,"A company's profit increased by 50% in Year 2 and decreased by 40% in Year 3. Net change over the two years is:","10% increase","10% decrease","No change","5% decrease","N/A","B",5,90,"CORRECT=PERCENTAGE_CHANGE+FINANCE","HARD",FALSE,"BOOST_ANALYTICAL","Let initial profit = 100. Year 2 = 100 × 1.50 = 150. Year 3 = 150 × 0.60 = 90. Net change = (90-100)/100 × 100 = -10%. Successive percentage changes are multiplicative not additive."
