career_cluster,career_name,relevance_at_grade_10,key_signals_from_assessment,section_emphasis,recommended_stream,stream_detection_questions,role_model_example
TECH,AI Engineer,VERY HIGH,"High CORE_APTITUDE quadratic/trig + AI_READINESS 5-6/6 + REASONING_IQ spatial","CORE_APTITUDE + AI_READINESS + REASONING_IQ",PCM,"APG10_AIR_01-06 APG10_CA_01 (quadratic) APG10_RIQ_01 (3D cube)","Demis Hassabis (DeepMind founder)"
TECH,Software Developer,VERY HIGH,"Strong algebra + coordinate geometry + coding logic + tech CARD_SORT career","CORE_APTITUDE + APPLIED_CHALLENGE + STEM_FOUNDATION",PCM,"APG10_CA_05 (coordinate) APG10_IW_04 (AI products career sort) APG10_AC_03 (digital catalog)","Satya Nadella (Microsoft CEO)"
TECH,Data Scientist,VERY HIGH,"Probability + statistics + compound interest + data interpretation + critical thinking","CORE_APTITUDE + STEM_FOUNDATION + AI_READINESS","PCM or Commerce+Stats","APG10_CA_04 (probability) APG10_CA_11 (correlation vs causation) APG10_SF_06 (mean)","Nate Silver (prediction guru)"
TECH,Cybersecurity Analyst,HIGH,"Logical reasoning + AI ethics awareness + privacy consciousness + evidence-based thinking","REASONING_IQ + AI_READINESS + APPLIED_CHALLENGE",PCM,"APG10_AC_05 (data privacy CERT-In) APG10_AIR_05 (AI plagiarism challenge) APG10_RIQ_02 (syllogism)","Kiran Jonnalagadda (HasGeek founder)"
TECH,Prompt Engineer,HIGH,"AI literacy (GPT meaning) + creative problem-solving + strong language + AI ethics","AI_READINESS + INTEREST_WORK + APPLIED_CHALLENGE","Any with tech aptitude","APG10_AIR_04 (GPT) APG10_AIR_03 (AI bias) APG10_IW_05 (writing vs numbers)","Emerging role — AI researchers lead"
HEALTH,Doctor (MBBS/MD),VERY HIGH,"Biology foundation (BF 3-4/4) + mitosis/genetics knowledge + empathy + detail orientation","BIOLOGY_FOUNDATION + INTEREST_WORK + LEARNING_BEHAVIOR",PCB,"APG10_BF_01-04 APG10_CR_05 (MBBS 5.5yr) APG10_IW_04 (surgery career sort)","Dr. Devi Shetty (affordable cardiac surgery)"
HEALTH,Psychologist/Counselor,HIGH,"High empathy + social consciousness + deep learning + values-driven + verbal strength","INTEREST_WORK + VALUES_MOTIVATION + LEARNING_BEHAVIOR","PCB or Humanities","APG10_IW_08 (social problems) APG10_VM_06 (NGO vs corporate) APG10_IW_05 (writing)","Dr. Vikram Patel (global mental health)"
HEALTH,Biotechnologist,HIGH,"Genetics interest (DNA knowledge) + research orientation + lab curiosity","BIOLOGY_FOUNDATION + STEM_FOUNDATION + INTEREST_WORK",PCB,"APG10_BF_02 (DNA/genes) APG10_IW_02 (research lab) APG10_CR_06 (KVPY/IISc)","Dr. Kiran Mazumdar-Shaw (Biocon founder)"
GREEN,Environmental Engineer,VERY HIGH,"Eco-awareness + multi-modal systems thinking + urban planning + physics/math","APPLIED_CHALLENGE + STEM_FOUNDATION + VALUES_MOTIVATION",PCM,"APG10_AC_02 (AI factory trade-off) APG10_AC_10 (urban traffic) APG10_GA_03 (SDGs)","Ashok Khosla (Development Alternatives)"
GREEN,Sustainability Analyst,HIGH,"ESG awareness + data analysis + ethical values + SDG knowledge + systems thinking","VALUES_MOTIVATION + AI_READINESS + GENERAL_AWARENESS","PCM or Commerce","APG10_AC_02 (balanced systems) APG10_GA_03 (UN SDGs 2030) APG10_VM_04 (research vs sell)","Anand Mahindra (ESG corporate leader)"
GREEN,Renewable Energy Engineer,HIGH,"Physics (acceleration/mechanics) + eco-values + technology systems thinking","STEM_FOUNDATION + APPLIED_CHALLENGE + VALUES_MOTIVATION",PCM,"APG10_SF_01 (acceleration) APG10_SF_04 (projectile) APG10_AC_10 (urban planning)","Tulsi Tanti (Suzlon Energy founder)"
ENGINEERING,Mechanical Engineer,VERY HIGH,"Physics mastery (kinematics) + trigonometry + spatial 3D reasoning + tinkering interest","STEM_FOUNDATION + CORE_APTITUDE + REASONING_IQ",PCM,"APG10_SF_01 (acceleration) APG10_SF_04 (projectile) APG10_CA_07 (trigonometry)","Ratan Tata (engineer-industrialist)"
ENGINEERING,Civil Engineer,HIGH,"Spatial reasoning (3D cube) + geometry + physics + structural design thinking","REASONING_IQ + STEM_FOUNDATION + APPLIED_CHALLENGE",PCM,"APG10_RIQ_01 (cube painted) APG10_CA_05 (coordinate distance) APG10_SF_03 (circle area)","E. Sreedharan (Delhi Metro)"
ENGINEERING,Aerospace Engineer,HIGH,"Physics deep (projectile motion) + math advanced + space interest + ISRO awareness","STEM_FOUNDATION + CORE_APTITUDE + GENERAL_AWARENESS",PCM,"APG10_SF_04 (projectile height) APG10_SF_01 (acceleration) APG10_GA_02 (CV Raman)","K. Sivan (former ISRO chairman)"
CREATIVE,UX/Product Designer,HIGH,"User-centered thinking + visual creativity + tech interest + app design scenarios","APPLIED_CHALLENGE + INTEREST_WORK + AI_READINESS","Any with design focus","APG10_AC_03 (library QR solution) APG10_IW_04 (product design career sort)","Anand Agarawala (Indian UX pioneer)"
CREATIVE,Filmmaker/Content Creator,MEDIUM,"Verbal-creative orientation + storytelling interest + media passion","INTEREST_WORK + LEARNING_BEHAVIOR","Any (Humanities preferred)","APG10_IW_05 (writing vs numbers) APG10_IW_04 (digital content career sort)","Zoya Akhtar (acclaimed filmmaker)"
BUSINESS,Entrepreneur,VERY HIGH,"Financial planning + strategic thinking + domain-aligned stream choice + initiative","APPLIED_CHALLENGE + VALUES_MOTIVATION + CORE_APTITUDE","Domain-aligned (PCM for tech startup, Commerce for fintech)","APG10_AC_01 (hackathon budget) APG10_AC_09 (investment allocation) APG10_CR_04 (entrepreneur stream)","Deepinder Goyal (Zomato founder)"
