"question_code","section_code","question_type","sequence_no","question_text"
"AP2_AIR_01","AI_READINESS","MCQ","6","When using an AI tool for homework, the most reliable practice is:"
"AP3_AI_001","AI_READINESS","MCQ","6","AI readiness: Best way to use AI tutor for hard physics problems is:"
"AP2_AIR_02","AI_READINESS","MCQ","13","AI readiness: Best way to prompt an AI tutor for difficult physics problems is:"
"AP3_AI_002","AI_READINESS","MCQ","13","AI readiness: Responsible AI learning behavior means:"
"AP2_AIR_03","AI_READINESS","MCQ","20","Which behavior shows strong AI-era collaboration skill?"
"AP2_AIR_04","AI_READINESS","MCQ","27","AI ethics in learning means:"
"AP3_AI_003","AI_READINESS","MCQ","255","AI readiness: When you receive conflicting AI answers for the same problem, best practice is:"
"AP3_AI_004","AI_READINESS","MCQ","256","AI readiness: When AI gives a fluent but suspicious derivation, best practice is:"
"AP3_AI_005","AI_READINESS","MCQ","257","AI readiness: When you need help with a long-form essay outline, best practice is:"
"AP3_AI_006","AI_READINESS","MCQ","258","AI readiness: When you are using AI for coding/debugging support, best practice is:"
"AP3_AI_007","AI_READINESS","MCQ","259","AI readiness: When you are preparing notes for revision with AI, best practice is:"
"AP3_AI_008","AI_READINESS","MCQ","260","AI readiness: When you must avoid plagiarism in submissions, best practice is:"
"AP3_AI_009","AI_READINESS","MCQ","261","AI readiness: When you receive conflicting AI answers for the same problem, best practice is:"
"AP3_AI_010","AI_READINESS","MCQ","262","AI readiness: When AI gives a fluent but suspicious derivation, best practice is:"
"AP3_AI_011","AI_READINESS","MCQ","263","AI readiness: When you need help with a long-form essay outline, best practice is:"
"AP3_AI_012","AI_READINESS","MCQ","264","AI readiness: When you are using AI for coding/debugging support, best practice is:"
"AP3_AI_013","AI_READINESS","MCQ","265","AI readiness: When you are preparing notes for revision with AI, best practice is:"
"AP3_AI_014","AI_READINESS","MCQ","266","AI readiness: When you must avoid plagiarism in submissions, best practice is:"
"AP3_AI_015","AI_READINESS","MCQ","267","AI readiness: When you receive conflicting AI answers for the same problem, best practice is:"
"AP3_AI_016","AI_READINESS","MCQ","268","AI readiness: When AI gives a fluent but suspicious derivation, best practice is:"
"AP3_AI_017","AI_READINESS","MCQ","269","AI readiness: When you need help with a long-form essay outline, best practice is:"
"AP3_AI_018","AI_READINESS","MCQ","270","AI readiness: When you are using AI for coding/debugging support, best practice is:"
"AP3_AI_019","AI_READINESS","MCQ","271","AI readiness: When you are preparing notes for revision with AI, best practice is:"
"AP3_AI_020","AI_READINESS","MCQ","272","AI readiness: When you must avoid plagiarism in submissions, best practice is:"
"AP3_AI_021","AI_READINESS","MCQ","273","AI readiness: When you receive conflicting AI answers for the same problem, best practice is:"
"AP3_AI_022","AI_READINESS","MCQ","274","AI readiness: When AI gives a fluent but suspicious derivation, best practice is:"
"AP3_AI_023","AI_READINESS","MCQ","275","AI readiness: When you need help with a long-form essay outline, best practice is:"
"AP3_AI_024","AI_READINESS","MCQ","276","AI readiness: When you are using AI for coding/debugging support, best practice is:"
"AP2_APPL_01","APPLIED_CHALLENGE","MCQ","2","Applied challenge: A school wants to cut electricity usage by 15%. What is the best first step?"
"AP3_APPL_001","APPLIED_CHALLENGE","MCQ","2","Applied challenge (NEET/JEE): Mock score drops for 3 tests. What should be done first?"
"AP2_APPL_02","APPLIED_CHALLENGE","MCQ","9","Applied challenge: In a mock test, wrong answers carry negative marks. Best strategy is:"
"AP3_APPL_002","APPLIED_CHALLENGE","MCQ","9","Applied challenge (CAT/CLAT): Preparation time is limited. Best first decision step?"
"AP2_APPL_03","APPLIED_CHALLENGE","MCQ","16","Applied challenge: A startup must choose one feature to launch first. Best decision method is:"
"AP2_APPL_04","APPLIED_CHALLENGE","MCQ","23","Applied challenge: A biology experiment gives inconsistent results. First correction should be:"
"AP2_APPL_05","APPLIED_CHALLENGE","MCQ","30","Applied challenge: A social campaign has low participation. Most effective fix is:"
"AP2_APPL_06","APPLIED_CHALLENGE","MCQ","33","Applied challenge: You must choose between NEET and JEE focus with limited time. Best path is:"
"AP2_APPL_07","APPLIED_CHALLENGE","MCQ","36","Applied challenge: In a design sprint, user testing shows confusion. Next action is:"
"AP2_APPL_08","APPLIED_CHALLENGE","MCQ","38","Applied challenge: A mock test trend shows slow improvement. Best intervention is:"
"AP3_APPL_003","APPLIED_CHALLENGE","MCQ","97","Applied challenge (IIT-JEE): mock accuracy drops while attempts increase. Best first intervention is:"
"AP3_APPL_004","APPLIED_CHALLENGE","MCQ","98","Applied challenge (NEET): high-confidence errors repeat across weeks. Best first intervention is:"
"AP3_APPL_005","APPLIED_CHALLENGE","MCQ","99","Applied challenge (CAT): revision plan exists but execution is inconsistent. Best first intervention is:"
"AP3_APPL_006","APPLIED_CHALLENGE","MCQ","100","Applied challenge (CLAT/Law): parent expectation is high and anxiety is rising. Best first intervention is:"
"AP3_APPL_007","APPLIED_CHALLENGE","MCQ","101","Applied challenge (Coding and Robotics): strength in one subject is not translating to score. Best first intervention is:"
"AP3_APPL_008","APPLIED_CHALLENGE","MCQ","102","Applied challenge (Commerce and Analytics): mock accuracy drops while attempts increase. Best first intervention is:"
"AP3_APPL_009","APPLIED_CHALLENGE","MCQ","103","Applied challenge (Design and Creative Tech): high-confidence errors repeat across weeks. Best first intervention is:"
"AP3_APPL_010","APPLIED_CHALLENGE","MCQ","104","Applied challenge (Public Policy): revision plan exists but execution is inconsistent. Best first intervention is:"
"AP3_APPL_011","APPLIED_CHALLENGE","MCQ","105","Applied challenge (Applied Sciences): parent expectation is high and anxiety is rising. Best first intervention is:"
"AP3_APPL_012","APPLIED_CHALLENGE","MCQ","106","Applied challenge (School Board Excellence): strength in one subject is not translating to score. Best first intervention is:"
"AP3_APPL_013","APPLIED_CHALLENGE","MCQ","107","Applied challenge (IIT-JEE): mock accuracy drops while attempts increase. Best first intervention is:"
"AP3_APPL_014","APPLIED_CHALLENGE","MCQ","108","Applied challenge (NEET): high-confidence errors repeat across weeks. Best first intervention is:"
"AP3_APPL_015","APPLIED_CHALLENGE","MCQ","109","Applied challenge (CAT): revision plan exists but execution is inconsistent. Best first intervention is:"
"AP3_APPL_016","APPLIED_CHALLENGE","MCQ","110","Applied challenge (CLAT/Law): parent expectation is high and anxiety is rising. Best first intervention is:"
"AP3_APPL_017","APPLIED_CHALLENGE","MCQ","111","Applied challenge (Coding and Robotics): strength in one subject is not translating to score. Best first intervention is:"
"AP3_APPL_018","APPLIED_CHALLENGE","MCQ","112","Applied challenge (Commerce and Analytics): mock accuracy drops while attempts increase. Best first intervention is:"
"AP3_APPL_019","APPLIED_CHALLENGE","MCQ","113","Applied challenge (Design and Creative Tech): high-confidence errors repeat across weeks. Best first intervention is:"
"AP3_APPL_020","APPLIED_CHALLENGE","MCQ","114","Applied challenge (Public Policy): revision plan exists but execution is inconsistent. Best first intervention is:"
"AP3_APPL_021","APPLIED_CHALLENGE","MCQ","115","Applied challenge (Applied Sciences): parent expectation is high and anxiety is rising. Best first intervention is:"
"AP3_APPL_022","APPLIED_CHALLENGE","MCQ","116","Applied challenge (School Board Excellence): strength in one subject is not translating to score. Best first intervention is:"
"AP3_APPL_023","APPLIED_CHALLENGE","MCQ","117","Applied challenge (IIT-JEE): mock accuracy drops while attempts increase. Best first intervention is:"
"AP3_APPL_024","APPLIED_CHALLENGE","MCQ","118","Applied challenge (NEET): high-confidence errors repeat across weeks. Best first intervention is:"
"AP3_APPL_025","APPLIED_CHALLENGE","MCQ","119","Applied challenge (CAT): revision plan exists but execution is inconsistent. Best first intervention is:"
"AP3_APPL_026","APPLIED_CHALLENGE","MCQ","120","Applied challenge (CLAT/Law): parent expectation is high and anxiety is rising. Best first intervention is:"
"AP3_APPL_027","APPLIED_CHALLENGE","MCQ","121","Applied challenge (Coding and Robotics): strength in one subject is not translating to score. Best first intervention is:"
"AP3_APPL_028","APPLIED_CHALLENGE","MCQ","122","Applied challenge (Commerce and Analytics): mock accuracy drops while attempts increase. Best first intervention is:"
"AP3_APPL_029","APPLIED_CHALLENGE","MCQ","123","Applied challenge (Design and Creative Tech): high-confidence errors repeat across weeks. Best first intervention is:"
"AP3_APPL_030","APPLIED_CHALLENGE","MCQ","124","Applied challenge (Public Policy): revision plan exists but execution is inconsistent. Best first intervention is:"
"AP3_APPL_031","APPLIED_CHALLENGE","MCQ","125","Applied challenge (Applied Sciences): parent expectation is high and anxiety is rising. Best first intervention is:"
"AP3_APPL_032","APPLIED_CHALLENGE","MCQ","126","Applied challenge (School Board Excellence): strength in one subject is not translating to score. Best first intervention is:"
"AP3_APPL_033","APPLIED_CHALLENGE","MCQ","127","Applied challenge (IIT-JEE): mock accuracy drops while attempts increase. Best first intervention is:"
"AP3_APPL_034","APPLIED_CHALLENGE","MCQ","128","Applied challenge (NEET): high-confidence errors repeat across weeks. Best first intervention is:"
"AP3_APPL_035","APPLIED_CHALLENGE","MCQ","129","Applied challenge (CAT): revision plan exists but execution is inconsistent. Best first intervention is:"
"AP3_APPL_036","APPLIED_CHALLENGE","MCQ","130","Applied challenge (CLAT/Law): parent expectation is high and anxiety is rising. Best first intervention is:"
"AP3_APPL_037","APPLIED_CHALLENGE","MCQ","131","Applied challenge (Coding and Robotics): strength in one subject is not translating to score. Best first intervention is:"
"AP3_APPL_038","APPLIED_CHALLENGE","MCQ","132","Applied challenge (Commerce and Analytics): mock accuracy drops while attempts increase. Best first intervention is:"
"AP3_APPL_039","APPLIED_CHALLENGE","MCQ","133","Applied challenge (Design and Creative Tech): high-confidence errors repeat across weeks. Best first intervention is:"
"AP3_APPL_040","APPLIED_CHALLENGE","MCQ","134","Applied challenge (Public Policy): revision plan exists but execution is inconsistent. Best first intervention is:"
"AP3_APPL_041","APPLIED_CHALLENGE","MCQ","135","Applied challenge (Applied Sciences): parent expectation is high and anxiety is rising. Best first intervention is:"
"AP3_APPL_042","APPLIED_CHALLENGE","MCQ","136","Applied challenge (School Board Excellence): strength in one subject is not translating to score. Best first intervention is:"
"AP3_APPL_043","APPLIED_CHALLENGE","MCQ","137","Applied challenge (IIT-JEE): mock accuracy drops while attempts increase. Best first intervention is:"
"AP3_APPL_044","APPLIED_CHALLENGE","MCQ","138","Applied challenge (NEET): high-confidence errors repeat across weeks. Best first intervention is:"
"AP3_APPL_045","APPLIED_CHALLENGE","MCQ","139","Applied challenge (CAT): revision plan exists but execution is inconsistent. Best first intervention is:"
"AP3_APPL_046","APPLIED_CHALLENGE","MCQ","140","Applied challenge (CLAT/Law): parent expectation is high and anxiety is rising. Best first intervention is:"
"AP3_APPL_047","APPLIED_CHALLENGE","MCQ","141","Applied challenge (Coding and Robotics): strength in one subject is not translating to score. Best first intervention is:"
"AP3_APPL_048","APPLIED_CHALLENGE","MCQ","142","Applied challenge (Commerce and Analytics): mock accuracy drops while attempts increase. Best first intervention is:"
"AP3_APPL_049","APPLIED_CHALLENGE","MCQ","143","Applied challenge (Design and Creative Tech): high-confidence errors repeat across weeks. Best first intervention is:"
"AP3_APPL_050","APPLIED_CHALLENGE","MCQ","144","Applied challenge (Public Policy): revision plan exists but execution is inconsistent. Best first intervention is:"
"AP3_APPL_051","APPLIED_CHALLENGE","MCQ","145","Applied challenge (Applied Sciences): parent expectation is high and anxiety is rising. Best first intervention is:"
"AP3_APPL_052","APPLIED_CHALLENGE","MCQ","146","Applied challenge (School Board Excellence): strength in one subject is not translating to score. Best first intervention is:"
"AP3_APPL_053","APPLIED_CHALLENGE","MCQ","147","Applied challenge (IIT-JEE): mock accuracy drops while attempts increase. Best first intervention is:"
"AP3_APPL_054","APPLIED_CHALLENGE","MCQ","148","Applied challenge (NEET): high-confidence errors repeat across weeks. Best first intervention is:"
"AP3_APPL_055","APPLIED_CHALLENGE","MCQ","149","Applied challenge (CAT): revision plan exists but execution is inconsistent. Best first intervention is:"
"AP3_APPL_056","APPLIED_CHALLENGE","MCQ","150","Applied challenge (CLAT/Law): parent expectation is high and anxiety is rising. Best first intervention is:"
"AP3_APPL_057","APPLIED_CHALLENGE","MCQ","151","Applied challenge (Coding and Robotics): strength in one subject is not translating to score. Best first intervention is:"
"AP3_APPL_058","APPLIED_CHALLENGE","MCQ","152","Applied challenge (Commerce and Analytics): mock accuracy drops while attempts increase. Best first intervention is:"
"AP3_APPL_059","APPLIED_CHALLENGE","MCQ","153","Applied challenge (Design and Creative Tech): high-confidence errors repeat across weeks. Best first intervention is:"
"AP3_APPL_060","APPLIED_CHALLENGE","MCQ","154","Applied challenge (Public Policy): revision plan exists but execution is inconsistent. Best first intervention is:"
