Section,Question_ID,Question_Text,Type,Tags,Adaptivity_Notes
Interests & Passions,1,Which activity excites you most? A) Building apps or robots B) Exploring nature and energy solutions C) Helping people with health or tech D) Analyzing patterns and data E) Creating designs or stories,MCQ,"warmup, ai_tech, green, healthcare, data",Broad starter
Interests & Passions,2,"How interested are you in AI and robots? (1=Not at all, 5=Very much)",Slider,"warmup, ai_tech","If >3, branch to tech"
Interests & Passions,3,"Rank these by interest: AI tech, Climate solutions, Healthcare innovation, Green energy, Data tools",Ranking,"warmup, ai_tech, green, healthcare, data",Top rank determines branch
Interests & Passions,4,Would you rather: A) Invent new gadgets B) Protect the environment C) Care for others D) Solve puzzles with numbers,MCQ,"warmup, ai_tech, green, healthcare, data",
Interests & Passions,5,What hobby or subject in school makes you lose track of time?,Open Short,warmup,AI analyze for clusters
Interests & Passions,6,Rate your curiosity about future tech like drones or virtual reality (1–5),Slider,"warmup, ai_tech",
Interests & Passions,7,"Prioritize: Space exploration, Sustainable farming, Medical tech, FinTech apps",Ranking,"warmup, ai_tech, green, healthcare, data",
Interests & Passions,8,Best weekend: A) Coding a game B) Outdoor eco-project C) Volunteering at hospital D) Data experiments,MCQ,"warmup, ai_tech, green, healthcare, data",
Interests & Passions,9,How interested are you in environmental conservation? (1-5),Slider,"warmup, green",
Interests & Passions,10,"Rank future trends: AI automation, Renewable energy, Biotech advances, Big data analytics",Ranking,"warmup, ai_tech, green, healthcare, data",
Interests & Passions,11,Which appeals more: A) Tech startups B) Eco NGOs C) Health clinics D) Research labs,MCQ,"warmup, ai_tech, green, healthcare, data",
Interests & Passions,12,Describe a dream invention.,Open Short,warmup,
Interests & Passions,13,Rate interest in healthcare tech like wearables (1-5),Slider,"warmup, healthcare",
Interests & Passions,14,"Prioritize: Coding, Planting trees, Medical volunteering, Data visualization",Ranking,"warmup, ai_tech, green, healthcare, data",
Interests & Passions,15,Favorite school project type: A) App building B) Science fair on environment C) Health awareness D) Math puzzles,MCQ,"warmup, ai_tech, green, healthcare, data",
Interests & Passions,16,How curious are you about data science? (1-5),Slider,"warmup, data",
Interests & Passions,17,"Rank hobbies: Programming, Hiking, Helping friends, Analyzing games",Ranking,"warmup, ai_tech, green, healthcare, data",
Interests & Passions,18,Would you like to explore space tech or ocean conservation?,MCQ,"warmup, ai_tech, green",
Interests & Passions,19,What school subject excites you for future jobs?,Open Short,warmup,
Interests & Passions,20,Rate interest in fintech innovations (1-5),Slider,"warmup, data",
Problem-Solving & Scenarios,1,A city faces pollution—what's your first fix? A) AI-optimized traffic B) Solar panels and green buildings C) Health monitoring apps D) Data-driven policies,MCQ,"aptitude, ai_tech, green, healthcare, data","If green high, more env scenarios"
Problem-Solving & Scenarios,2,"In 2035, rank appealing challenges: Fixing cyber threats, Reducing carbon emissions, Improving healthcare AI, Analyzing big data",Ranking,"aptitude, ai_tech, green, healthcare, data",
Problem-Solving & Scenarios,3,How good are you at finding creative solutions when stuck? (1–5),Slider,"aptitude, resilience",
Problem-Solving & Scenarios,4,Team has excess data—what next? A) Build AI pattern-finder B) Create sustainability reports C) Develop health insights D) Ignore and act,MCQ,"aptitude, ai_tech, green, healthcare, data",
Problem-Solving & Scenarios,5,Describe how you'd use tech to solve a school problem like waste.,Open Short,"aptitude, green",
