ci_question_id,module,version,grade,stream,section,question_type,bloom_level,question_stem,option_a,option_b,option_c,option_d,option_e,correct_option,weightage,time_secs,career_cluster_map,difficulty,is_behavioral,adaptive_trigger,explanation
APG11HUM_CA_01,APTIPATH,V3,GRADE_11_12,HUMANITIES,CORE_APTITUDE,MCQ,ANALYZE,"Choose the word that is MOST OPPOSITE in meaning to 'Ephemeral':","Transient","Permanent","Fleeting","Momentary","N/A","B",3,60,"CORRECT=VERBAL_REASONING+LAW","MEDIUM",FALSE,"BOOST_ANALYTICAL","Ephemeral means short-lived or temporary. Its antonym is permanent or enduring. Vocabulary and verbal reasoning are critical for CLAT UPSC and all humanities entrance exams."
APG11HUM_CA_02,APTIPATH,V3,GRADE_11_12,HUMANITIES,CORE_APTITUDE,MCQ,ANALYZE,"Passage: A government policy aimed at reducing urban pollution restricts vehicle movement on alternate days based on odd-even number plates. Critics argue it merely shifts traffic to other days. The critics' argument assumes that:","The policy will reduce overall vehicle usage","People will not adjust their travel plans to compensate by driving more on their permitted days","Alternative transport options will replace private vehicles","Pollution is caused only by vehicles","N/A","B",5,90,"CORRECT=CRITICAL_REASONING+LAW+CIVIL_SERVICES","HARD",FALSE,"BOOST_ANALYTICAL","Critical reasoning: the critics assume compensatory behavior — people driving more on permitted days to make up for restricted days. Identifying hidden assumptions is fundamental to legal reasoning and policy analysis."
APG11HUM_CA_03,APTIPATH,V3,GRADE_11_12,HUMANITIES,CORE_APTITUDE,MCQ,APPLY,"Complete the analogy: Judge : Court :: Professor : ___","Hospital","University","Parliament","Laboratory","N/A","B",3,60,"CORRECT=ANALOGY+VERBAL","MEDIUM",FALSE,"BOOST_ANALYTICAL","A judge works in a court. A professor works in a university. Analogical reasoning tests the ability to identify relationships between concepts — essential for CLAT and verbal reasoning sections."
APG11HUM_CA_04,APTIPATH,V3,GRADE_11_12,HUMANITIES,CORE_APTITUDE,MCQ,ANALYZE,"Statement: If economic growth increases then employment will rise. Employment has not risen. Therefore:","Economic growth has increased","Economic growth has not increased","Employment will rise in the future","Nothing can be concluded about economic growth","N/A","B",4,75,"CORRECT=LOGICAL_REASONING+CIVIL_SERVICES","HARD",FALSE,"BOOST_ANALYTICAL","Modus tollens: If P then Q. Not Q. Therefore Not P. If growth→employment. No employment rise. Therefore no growth increase. This is a valid deductive inference used in legal and policy reasoning."
APG11HUM_CA_05,APTIPATH,V3,GRADE_11_12,HUMANITIES,CORE_APTITUDE,MCQ,EVALUATE,"A newspaper headline reads: Crime rate drops 10% after new police chief appointed. The MOST valid criticism of attributing the drop to the new chief is:","The crime rate drop must be due to the new chief — the timing is clear evidence","Correlation does not imply causation — seasonal variation changes in reporting methods or ongoing social programs could all explain the drop independently","Crime rates never change due to policing changes","A 10% drop is statistically insignificant regardless of cause","N/A","B",5,90,"CORRECT=CRITICAL_THINKING+MEDIA+CIVIL_SERVICES","HARD",FALSE,"BOOST_ANALYTICAL","Post hoc ergo propter hoc fallacy: just because B followed A does not mean A caused B. Multiple confounding variables could explain the crime drop. Critical media analysis requires distinguishing correlation from causation."
APG11HUM_CA_06,APTIPATH,V3,GRADE_11_12,HUMANITIES,CORE_APTITUDE,MCQ,ANALYZE,"Choose the sentence that is grammatically CORRECT:","Neither the students nor the teacher were present at the meeting yesterday morning","Neither the students nor the teacher was present at the meeting yesterday morning","Neither the students nor the teacher have been present at the meeting yesterday morning","Neither the students nor the teacher are present at the meeting yesterday morning","N/A","B",4,75,"CORRECT=GRAMMAR+MEDIA+LAW","HARD",FALSE,"BOOST_ANALYTICAL","Neither...nor with mixed subjects: verb agrees with the nearer subject (teacher = singular → was). Past tense with yesterday. Grammar precision is essential for legal drafting journalism and civil services writing."
APG11HUM_CA_07,APTIPATH,V3,GRADE_11_12,HUMANITIES,CORE_APTITUDE,MCQ,ANALYZE,"In a sequence: Democracy Republic Oligarchy ___. The pattern follows forms of government from most to least citizen participation. The next term is:","Monarchy","Anarchy","Autocracy","Theocracy","N/A","C",4,75,"CORRECT=POLITICAL_SCIENCE+CIVIL_SERVICES","HARD",FALSE,"BOOST_ANALYTICAL","Decreasing citizen participation: Democracy (direct citizen rule) → Republic (elected representatives) → Oligarchy (rule by few elites) → Autocracy (rule by single authority). Pattern recognition in political concepts."
APG11HUM_CA_08,APTIPATH,V3,GRADE_11_12,HUMANITIES,CORE_APTITUDE,MCQ,ANALYZE,"Argument: All journalists should be licensed by the government to ensure responsible reporting. The STRONGEST counter-argument is:","Licensing would improve journalism quality","Government licensing of journalists creates a mechanism for censorship and suppression of press freedom — a fundamental democratic check on state power","Journalists do not need any training or accountability","Licensing is too expensive to implement","N/A","B",5,90,"CORRECT=CRITICAL_REASONING+MEDIA+LAW","HARD",FALSE,"BOOST_ANALYTICAL","Press freedom is a fundamental right (Article 19(1)(a)). Government licensing creates prior restraint — the ability to deny licenses to critical journalists. The strongest counter addresses the core threat to democratic accountability."
APG11HUM_CA_09,APTIPATH,V3,GRADE_11_12,HUMANITIES,CORE_APTITUDE,MCQ,APPLY,"If all roses are flowers and some flowers are red then which of the following MUST be true?","All roses are red","Some roses are red","All red things are flowers","None of the above can be definitely concluded","N/A","D",4,75,"CORRECT=SYLLOGISM+LAW+CIVIL_SERVICES","HARD",FALSE,"BOOST_ANALYTICAL","All roses ⊆ flowers. Some flowers ∩ red ≠ ∅. But the red flowers may be non-rose flowers. We cannot conclude anything definite about roses being red. This is a classic syllogistic reasoning problem."
APG11HUM_CA_10,APTIPATH,V3,GRADE_11_12,HUMANITIES,CORE_APTITUDE,MCQ,EVALUATE,"A research study claims that students who read fiction perform better in empathy tests. The study compared literature students with engineering students. The MAIN methodological flaw is:","The sample size must have been too small","Self-selection bias — literature students may be inherently more empathetic which is why they chose literature rather than fiction reading causing the empathy","Empathy cannot be measured scientifically","The study should have compared men and women instead","N/A","B",5,90,"CORRECT=RESEARCH_METHODS+SOCIAL_SCIENCE","HARD",FALSE,"BOOST_ANALYTICAL","Self-selection bias: comparing literature vs engineering students confounds the cause. Students with pre-existing empathy may self-select into literature. A randomized controlled trial assigning fiction reading would be needed."
