"wave"	"priority_score"	"subject_bucket"	"course_id"	"course_name"	"course_session_id"	"session_order"	"session_title"	"target_total_questions"	"target_mcq"	"target_short_answer"	"target_long_answer"	"target_fill_in_blank"	"seed_extraction_min"	"seed_extraction_max"	"ai_generation_min"	"ai_generation_max"	"ai_generation_rule"	"difficulty_distribution"	"exam_style_requirement"	"image_required"	"target_questions_with_images"	"image_instruction"	"source_pdf"	"chapter_json_output"	"qa_status"	"publish_status"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"838"	"1"	"Chapter 1: ?????? (?????)"	"36"	"12"	"12"	"8"	"4"	"12"	"20"	"16"	"24"	"AI should generate exactly the shortfall after extraction to reach target_total_questions; if extraction quality is low, regenerate up to ai_generation_max."	"Easy:30%, Medium:50%, Hard:15%, Expert:5%"	"board-language clarity + grammar + comprehension"	"OPTIONAL"	"4"	"Use images only when it improves clarity."	"1_tiranga_kavita.pdf"	"/opt/robodynamics/session_materials/56/qbank/chapter_838.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"839"	"2"	"Chapter 2: ????? ????? (?????)"	"36"	"12"	"12"	"8"	"4"	"12"	"20"	"16"	"24"	"AI should generate exactly the shortfall after extraction to reach target_total_questions; if extraction quality is low, regenerate up to ai_generation_max."	"Easy:30%, Medium:50%, Hard:15%, Expert:5%"	"board-language clarity + grammar + comprehension"	"OPTIONAL"	"4"	"Use images only when it improves clarity."	"2_anokha_uphaar_kahani.pdf"	"/opt/robodynamics/session_materials/56/qbank/chapter_839.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"840"	"3"	"Chapter 3: ??? ????? (??????)"	"36"	"12"	"12"	"8"	"4"	"12"	"20"	"16"	"24"	"AI should generate exactly the shortfall after extraction to reach target_total_questions; if extraction quality is low, regenerate up to ai_generation_max."	"Easy:30%, Medium:50%, Hard:15%, Expert:5%"	"board-language clarity + grammar + comprehension"	"OPTIONAL"	"4"	"Use images only when it improves clarity."	"3_daan_bhavna_lokkatha.pdf"	"/opt/robodynamics/session_materials/56/qbank/chapter_840.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"841"	"4"	"Chapter 4: ?? ???? ?????? ?? (?????????)"	"36"	"12"	"12"	"8"	"4"	"12"	"20"	"16"	"24"	"AI should generate exactly the shortfall after extraction to reach target_total_questions; if extraction quality is low, regenerate up to ai_generation_max."	"Easy:30%, Medium:50%, Hard:15%, Expert:5%"	"board-language clarity + grammar + comprehension"	"OPTIONAL"	"4"	"Use images only when it improves clarity."	"4_aaj_meri_chutti_hai_vartalap.pdf"	"/opt/robodynamics/session_materials/56/qbank/chapter_841.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"842"	"5"	"Chapter 5: ??? ?? ??? (?????)"	"36"	"12"	"12"	"8"	"4"	"12"	"20"	"16"	"24"	"AI should generate exactly the shortfall after extraction to reach target_total_questions; if extraction quality is low, regenerate up to ai_generation_max."	"Easy:30%, Medium:50%, Hard:15%, Expert:5%"	"board-language clarity + grammar + comprehension"	"OPTIONAL"	"4"	"Use images only when it improves clarity."	"5_kaua_aur_haar_kavita.pdf"	"/opt/robodynamics/session_materials/56/qbank/chapter_842.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"843"	"6"	"Chapter 6: ??? ???? (???????-???)"	"36"	"12"	"12"	"8"	"4"	"12"	"20"	"16"	"24"	"AI should generate exactly the shortfall after extraction to reach target_total_questions; if extraction quality is low, regenerate up to ai_generation_max."	"Easy:30%, Medium:50%, Hard:15%, Expert:5%"	"board-language clarity + grammar + comprehension"	"OPTIONAL"	"4"	"Use images only when it improves clarity."	"6_seb_gira_vigyan_katha.pdf"	"/opt/robodynamics/session_materials/56/qbank/chapter_843.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"844"	"7"	"Chapter 7: ???? ?? ????? (?????)"	"36"	"12"	"12"	"8"	"4"	"12"	"20"	"16"	"24"	"AI should generate exactly the shortfall after extraction to reach target_total_questions; if extraction quality is low, regenerate up to ai_generation_max."	"Easy:30%, Medium:50%, Hard:15%, Expert:5%"	"board-language clarity + grammar + comprehension"	"OPTIONAL"	"4"	"Use images only when it improves clarity."	"7_koyal_ki_awaz_kahani.pdf"	"/opt/robodynamics/session_materials/56/qbank/chapter_844.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"845"	"8"	"Chapter 8: ?????? ?? ????? ???? (?????)"	"36"	"12"	"12"	"8"	"4"	"12"	"20"	"16"	"24"	"AI should generate exactly the shortfall after extraction to reach target_total_questions; if extraction quality is low, regenerate up to ai_generation_max."	"Easy:30%, Medium:50%, Hard:15%, Expert:5%"	"board-language clarity + grammar + comprehension"	"OPTIONAL"	"4"	"Use images only when it improves clarity."	"8_duniya_ko_chamkaye_chand_kavita.pdf"	"/opt/robodynamics/session_materials/56/qbank/chapter_845.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"846"	"9"	"Chapter 9: ????? ??? ??? (????)"	"36"	"12"	"12"	"8"	"4"	"12"	"20"	"16"	"24"	"AI should generate exactly the shortfall after extraction to reach target_total_questions; if extraction quality is low, regenerate up to ai_generation_max."	"Easy:30%, Medium:50%, Hard:15%, Expert:5%"	"board-language clarity + grammar + comprehension"	"OPTIONAL"	"4"	"Use images only when it improves clarity."	"9_dekhkar_chalo_bhai_natak.pdf"	"/opt/robodynamics/session_materials/56/qbank/chapter_846.json"	"PENDING"	"PENDING"
"WAVE_L1"	"79"	"HINDI"	"56"	"CBSE Grade 4 Hindi - Exam Prep"	"847"	"10"	"Chapter 10: ????? ?? ????? (????????)"	"36"	"12"	"12"	"8"	"4"	"12"	"20"	"16"	"24"	"AI should generate exactly the shortfall after extraction to reach target_total_questions; if extraction quality is low, regenerate up to ai_generation_max."	"Easy:30%, Medium:50%, Hard:15%, Expert:5%"	"board-language clarity + grammar + comprehension"	"OPTIONAL"	"4"	"Use images only when it improves clarity."	"10_patthar_ka_patthar_chitrakatha.pdf"	"/opt/robodynamics/session_materials/56/qbank/chapter_847.json"	"PENDING"	"PENDING"
