career_cluster,career_name,relevance_at_grade_9,key_signals_from_assessment,section_emphasis,stream_prep_action,early_indicator_questions,role_model_example
TECH,AI Engineer,HIGH,"High CORE_APTITUDE algebra + Fibonacci + REASONING_IQ + AI_READINESS 3-4/4","CORE_APTITUDE + AI_READINESS + REASONING_IQ","Start Python programming; Understand basic ML concepts; Choose PCM stream","APG9_CA_09 (Fibonacci) APG9_AIR_01-04 APG9_RIQ_01-04","Andrew Ng (AI pioneer teacher)"
TECH,Software Developer,HIGH,"Strong algebra + pattern recognition + coding logic + ANALYTICAL SITUATIONAL","CORE_APTITUDE + APPLIED_CHALLENGE + REASONING_IQ","Learn Python/JavaScript basics; Build projects on GitHub; Choose PCM","APG9_CA_06 (algebra) APG9_CA_01 (sequence) APG9_AC_04 (app design)","Bhavish Aggarwal (Ola founder)"
TECH,Data Scientist,HIGH,"Percentage/ratio mastery + data interpretation + ANALYTICAL preference + statistics","CORE_APTITUDE + STEM_FOUNDATION","Master percentage/ratio; Learn Excel; Start basic statistics; Choose PCM or Stats","APG9_CA_02 (percentage) APG9_CA_03 (ratio) APG9_CA_04 (average)","Hilary Mason (data science pioneer)"
TECH,Cybersecurity Analyst,MEDIUM,"Coding logic + ethical reasoning + pattern detection + tech curiosity","REASONING_IQ + APPLIED_CHALLENGE + AI_READINESS","Learn about encryption basics; Understand online safety; Choose PCM","APG9_RIQ_01 (alphanumeric coding) APG9_AIR_04 (AI bias)","Rishi Narang (Indian cybersecurity expert)"
TECH,Prompt Engineer,MEDIUM,"Creative problem-solving + AI understanding + strong language skills + tech comfort","AI_READINESS + INTEREST_WORK + APPLIED_CHALLENGE","Experiment with AI tools; Practice creative writing; Build prompt libraries","APG9_AIR_01-03 APG9_IW_01 (career activities rank)","Riley Goodside (pioneering prompt engineer)"
HEALTH,Doctor (MBBS/MD),HIGH,"Biology interest (LIKERT 4-5) + empathy + detail orientation + science curiosity","INTEREST_WORK + LEARNING_BEHAVIOR + STEM_FOUNDATION","Strengthen biology foundation; Join science olympiad; Plan for PCB stream","APG9_IW_01 (chemistry experiment rank) APG9_SF_04 (DNA) APG9_CR_01 (stream choice)","Dr. Gagandeep Kang (vaccine researcher)"
HEALTH,Psychologist/Counselor,HIGH,"High empathy (LIKERT 4-5) + social awareness + deep listening + values alignment","INTEREST_WORK + VALUES_MOTIVATION + LEARNING_BEHAVIOR","Read psychology basics; Practice active listening; Consider PCB or Humanities","APG9_IW_08 (lead vs specialist) APG9_VM_03 (growth mindset) APG9_AC_06 (bullying)","Dr. Pratima Murthy (NIMHANS director)"
HEALTH,Veterinary Scientist,MEDIUM,"Animal/nature love + science curiosity + biology interest + hands-on orientation","INTEREST_WORK + STEM_FOUNDATION","Study animal anatomy; Volunteer at shelters; Plan PCB stream","APG9_SF_04 (DNA) APG9_IW_02 (science videos) APG9_CR_01 (stream nuance)","Dr. Maneka Gandhi (animal rights pioneer)"
GREEN,Environmental Engineer,HIGH,"Eco-awareness + systems thinking + APPLIED_CHALLENGE green scenarios + math","APPLIED_CHALLENGE + VALUES_MOTIVATION + STEM_FOUNDATION","Study renewable energy; Build eco-projects; Choose PCM or environmental science","APG9_AC_02 (factory pollution) APG9_AC_07 (electricity reduction) APG9_GA_04 (CO2)","Arun Majumdar (clean energy pioneer)"
GREEN,Sustainability Analyst,MEDIUM,"Green awareness + data analysis + ethical values + systems thinking","VALUES_MOTIVATION + AI_READINESS + APPLIED_CHALLENGE","Research ESG concepts; Track carbon footprint; Choose PCM or Commerce","APG9_AC_05 (waste management) APG9_GA_06 (EVs) APG9_VM_05 (nation builder)","Sunita Narain (CSE environmentalist)"
ENGINEERING,Mechanical Engineer,HIGH,"Tinkering interest (LIKERT 4-5) + math proficiency + inverse proportion skills","INTEREST_WORK + STEM_FOUNDATION + CORE_APTITUDE","Build working models; Learn CAD basics; Strengthen physics; Choose PCM","APG9_IW_03 (efficiency) APG9_CA_08 (inverse proportion) APG9_SF_02 (Newton)","APJ Abdul Kalam (missile engineer)"
ENGINEERING,Civil Engineer,MEDIUM,"Spatial thinking + structural design interest + geometry + physics foundation","STEM_FOUNDATION + REASONING_IQ + APPLIED_CHALLENGE","Build bridge models; Study geometry; Learn about materials; Choose PCM","APG9_RIQ_04 (circular seating) APG9_SF_03 (square area) APG9_AC_01 (budget)","E. Sreedharan (Metro Man of India)"
ENGINEERING,Robotics Engineer,HIGH,"Tech+tinkering combo + AI understanding + programming interest + systems thinking","INTEREST_WORK + AI_READINESS + STEM_FOUNDATION","Join robotics competitions; Learn Arduino/Pi; Understand sensors; Choose PCM","APG9_IW_04 (robot/startup career sort) APG9_AIR_02 (precision agriculture)","Ashutosh Saxena (robotics entrepreneur)"
CREATIVE,Graphic Designer,MEDIUM,"Strong visual-creative interest (LIKERT 4-5) + design thinking + UX awareness","INTEREST_WORK + APPLIED_CHALLENGE","Learn Figma/Photoshop; Create school magazine designs; Build portfolio","APG9_IW_01 (film script rank) APG9_AC_04 (app design — UX)","Sarita Sundar (Indian design educator)"
CREATIVE,Content Creator,MEDIUM,"Writing/storytelling interest + communication + social media understanding","INTEREST_WORK + LEARNING_BEHAVIOR","Start a blog/YouTube channel; Write for school magazine; Build online presence","APG9_IW_01 (film script rank) APG9_AC_08 (original idea initiative)","Prajakta Koli (MostlySane creator)"
BUSINESS,Entrepreneur,HIGH,"Financial planning + initiative + strategic negotiation + leadership SITUATIONAL","APPLIED_CHALLENGE + VALUES_MOTIVATION + CORE_APTITUDE","Start a small project; Learn basic accounting; Study business case studies","APG9_AC_01 (budget management) APG9_CA_07 (profit) APG9_IW_06 (business stories)","Nikhil Kamath (Zerodha co-founder no college degree)"
BUSINESS,Chartered Accountant,HIGH,"Math accuracy + percentage mastery + detail orientation + financial thinking","CORE_APTITUDE + LEARNING_BEHAVIOR","Master percentages/ratios; Understand GST basics; Consider Commerce stream","APG9_CA_02 (percentage) APG9_CA_07 (profit) APG9_CR_03 (CA domain)","Naina Lal Kidwai (first Indian woman HSBC chair)"
BUSINESS,Management Consultant,MEDIUM,"Analytical thinking + leadership + strategic problem-solving + data interpretation","CORE_APTITUDE + APPLIED_CHALLENGE + INTEREST_WORK","Join debate/MUN clubs; Analyze case studies; Develop presentation skills","APG9_AC_03 (team delegation) APG9_IW_08 (lead vs specialist) APG9_CA_04 (data)","Kishore Biyani (retail pioneer)"
SOCIAL,Teacher/Educator,MEDIUM,"Teaching preference + empathy + patience + learning behavior mastery","LEARNING_BEHAVIOR + VALUES_MOTIVATION + INTEREST_WORK","Tutor juniors; Create study guides; Volunteer at community education centres","APG9_LB_01 (explaining to others) APG9_VM_05 (nation builder) APG9_IW_05 (politics)","Vicky Roy (educator photographer)"
SOCIAL,Social Worker,MEDIUM,"Strong social justice values + empathy + community orientation + nation building","VALUES_MOTIVATION + INTEREST_WORK + APPLIED_CHALLENGE","Volunteer at NGOs; Lead community projects; Document social issues","APG9_VM_05 (nation builder) APG9_AC_02 (factory pollution stakeholders) APG9_AC_06 (bullying)","Medha Patkar (social activist)"
