image_id,kannada_word,english_concept,image_prompt,level,chapter
kaveri_l6_c01_l01_common_nouns,ಸಾಮಾನ್ಯ ನಾಮಪದ,Common Nouns,Variety of everyday objects including house book dog flower butterfly - colorful children's book illustration style natural colors,6,1
kaveri_l6_c01_l02_proper_nouns,ವ್ಯಕ್ತಿನಾಮ,Proper Nouns,Name tags and labels showing Raj Bangalore India with Kannada script - colorful tag style location markers,6,1
kaveri_l6_c01_l03_masculine_nouns,ಪುಲ್ಲಿಂಗ ನಾಮಪದ,Masculine Nouns,Father figure boy and lion with clearly masculine features - warm earth tones brown gold colors,6,1
kaveri_l6_c01_l04_feminine_nouns,ಸ್ತ್ರೀಲಿಂಗ ನಾಮಪದ,Feminine Nouns,Mother figure girl and lioness with feminine features bright colors pink purple red,6,1
kaveri_l6_c01_l05_neuter_nouns,ನೋಂದಿ ಲಿಂಗ ನಾಮಪದ,Neuter Nouns,Objects table chair pencil pot bottle in classroom setting - neutral colors gray blue,6,1
kaveri_l6_c01_l06_singular_nouns,ಏಕವಚನ ನಾಮಪದ,Singular Nouns,One apple one book one house each isolated with number 1 - simple clean design,6,1
kaveri_l6_c01_l07_plural_nouns,ಬಹುವಚನ ನಾಮಪದ,Plural Nouns,Many apples many books group of children playing together - abundance multiple items,6,1
kaveri_l6_c01_l08_nominative_case,ಕರ್ತೃಪದ,Nominative Case,Subject doing action - boy actively reading book sitting with focused expression happy,6,1
kaveri_l6_c01_l09_accusative_case,ಕರ್ಮಪದ,Accusative Case,Object receiving action - book being read by child close-up of book in focus,6,1
kaveri_l6_c02_l01_basic_adjectives,ವಿಶೇಷಣ,Basic Adjectives,New book big dog red ball small flower - showing adjectives with objects together,6,2
kaveri_l6_c02_l02_quality_adjectives,ಗುಣವಾಚಕ ವಿಶೇಷಣ,Quality Adjectives,Good happy smiling face vs bad sad frowning face beautiful flower vs ugly withered flower,6,2
kaveri_l6_c02_l03_quantity_adjectives,ಪರಿಮಾಣವಾಚಕ ವಿಶೇಷಣ,Quantity Adjectives,Some apples on plate many stars in sky all children in group - showing different quantities,6,2
kaveri_l6_c02_l04_demonstrative_adjectives,ವರ್ಣನೆಯ ವಿಶೇಷಣ,Demonstrative Adjectives,This book nearby vs that mountain far distance perspective showing difference,6,2
kaveri_l6_c02_l05_interrogative_adjectives,ಬಿಡಿಪದ ವಿಶೇಷಣ,Interrogative Adjectives,Question mark with which apple pointing finger multiple apples to choose from,6,2
