career_cluster,career_name,stream_required,key_exams,education_path,grade_8_9_signals,grade_10_section_emphasis,grade_11_12_stream,post_12_specialization,projected_growth_india,projected_growth_global,salary_range_entry_inr
TECH,AI Engineer,PCM,JEE Main/Advanced + GATE or MS,"IIT/NIT CSE → ML/AI specialization or MS abroad","High CORE_APTITUDE + REASONING_IQ + TECH LIKERT 4-5","CORE_APTITUDE deep + AI_READINESS advanced",PCM,Engineering - CSE/AI,Very High,Very High,8-20 LPA
TECH,Software Developer,PCM,JEE Main/Advanced or college entrance,"Engineering degree in CSE/IT → campus placement","Pattern recognition + coding logic + problem-solving SITUATIONAL","STEM_FOUNDATION + APPLIED_CHALLENGE tech scenarios",PCM,Engineering - CSE/IT,Very High,Very High,5-15 LPA
TECH,Data Scientist,PCM or Commerce+Stats,JEE/college entrance + certifications,"B.Tech/B.Sc Stats → Data Science bootcamp/MS","High CORE_APTITUDE math + ANALYTICAL preference + data interpretation","CORE_APTITUDE data + STEM math advanced",PCM or Commerce+Stats,Engineering/Stats/Economics,Very High,Very High,6-18 LPA
TECH,Prompt Engineer,PCM or any with tech skills,Portfolio-based + certifications,"Any degree + NLP/AI training + strong communication","Creative problem-solving + TECH interest + language skills","AI_READINESS + APPLIED_CHALLENGE creative",Any with tech aptitude,Any + AI training,Very High,Very High,8-25 LPA
TECH,Cloud Architect,PCM,JEE/college entrance + AWS/Azure certs,"B.Tech IT/CSE → cloud certifications → 5yr experience","High STEM + systems thinking SITUATIONAL","STEM_FOUNDATION + CORE_APTITUDE systems",PCM,Engineering - CSE/IT,High,Very High,12-30 LPA
TECH,Cybersecurity Analyst,PCM,JEE/college entrance + CISSP/CEH certs,"B.Tech CSE/IT → security certifications","Logical reasoning + rule-following VALUES + coding aptitude","REASONING_IQ advanced + STEM_FOUNDATION",PCM,Engineering - CSE/IT,Very High,Very High,6-15 LPA
TECH,Intelligent Automation Expert,PCM,JEE/college entrance + RPA certs,"B.Tech → RPA/AI tools specialization","Systems thinking + efficiency orientation + coding logic","APPLIED_CHALLENGE systems + AI_READINESS",PCM,Engineering - CSE/IT/Mech,High,High,7-18 LPA
TECH,Generative AI Specialist,PCM,JEE/college + research track,"B.Tech CSE → ML/DL research → GenAI specialization","Highest CORE_APTITUDE + highest AI_READINESS + research orientation","AI_READINESS deep + CORE_APTITUDE advanced",PCM,Engineering - CSE/AI Research,Very High,Very High,10-35 LPA
HEALTH,Health AI Developer,PCM or PCB+coding,JEE/NEET + interdisciplinary,"B.Tech/MBBS → health informatics specialization","TECH + HEALTH dual interest + empathy + STEM strong","STEM both science + AI_READINESS",PCM or PCB,Engineering+Health or Medical+Tech,Very High,Very High,8-22 LPA
HEALTH,Biomedical Researcher,PCB,NEET/KVPY/research entrance,"MBBS/B.Sc → research PhD → lab/institution","Biology LIKERT 4-5 + research orientation + detail VALUES","STEM_FOUNDATION biology + LEARNING_BEHAVIOR deep",PCB,Medical/Biomedical Research,High,High,4-12 LPA
