sequence_no,question_type,difficulty_level,max_marks,question_text,correct_answer,question_image,options_json
1,short_answer,Medium,2,Find the perimeter of the rectangle (12 cm by 7 cm).,38 cm,/session_materials/35/images/g6_c35_s486_q01.svg,[]
2,short_answer,Medium,2,Find the area of the rectangle (12 cm by 7 cm).,84 sq cm,/session_materials/35/images/g6_c35_s486_q02.svg,[]
3,short_answer,Medium,2,Find the perimeter of the rectangle (12 cm by 7 cm).,38 cm,/session_materials/35/images/g6_c35_s486_q03.svg,[]
4,short_answer,Medium,2,Find the area of the rectangle (12 cm by 7 cm).,84 sq cm,/session_materials/35/images/g6_c35_s486_q04.svg,[]
5,short_answer,Medium,2,Find the perimeter of the rectangle (12 cm by 7 cm).,38 cm,/session_materials/35/images/g6_c35_s486_q05.svg,[]
6,short_answer,Medium,2,Find the area of the rectangle (12 cm by 7 cm).,84 sq cm,/session_materials/35/images/g6_c35_s486_q06.svg,[]
7,short_answer,Medium,2,Find the perimeter of the rectangle (12 cm by 7 cm).,38 cm,/session_materials/35/images/g6_c35_s486_q07.svg,[]
8,short_answer,Medium,2,Find the area of the rectangle (12 cm by 7 cm).,84 sq cm,/session_materials/35/images/g6_c35_s486_q08.svg,[]
9,short_answer,Medium,2,Find the perimeter of the rectangle (12 cm by 7 cm).,38 cm,/session_materials/35/images/g6_c35_s486_q09.svg,[]
10,short_answer,Medium,2,Find the area of the rectangle (12 cm by 7 cm).,84 sq cm,/session_materials/35/images/g6_c35_s486_q10.svg,[]
11,short_answer,Medium,2,Find the perimeter of the rectangle (12 cm by 7 cm).,38 cm,/session_materials/35/images/g6_c35_s486_q11.svg,[]
