ci_question_id,module,version,grade,section,question_type,bloom_level,question_stem,option_a,option_b,option_c,option_d,option_e,correct_option,weightage,time_secs,career_cluster_map,difficulty,is_behavioral,adaptive_trigger,explanation
APG10_CA_01,APTIPATH,V3,GRADE_10,CORE_APTITUDE,MCQ,APPLY,"If x² - 5x + 6 = 0 then the values of x are:","1 and 6","2 and 3","-2 and -3","3 and -2","N/A","B",4,75,"CORRECT=MATH_APTITUDE+PCM","MEDIUM",FALSE,"BOOST_STEM+PCM","Factoring: (x-2)(x-3) = 0 gives x = 2 or x = 3. Quadratic equations are the gateway to advanced algebra and engineering mathematics."
APG10_CA_02,APTIPATH,V3,GRADE_10,CORE_APTITUDE,MCQ,ANALYZE,"A company's quarterly revenue in lakhs: Q1=45 Q2=60 Q3=55 Q4=80. The percentage increase from Q1 to Q4 is approximately:","56%","67%","78%","89%","N/A","C",4,90,"CORRECT=DATA_ANALYTICS+BUSINESS","MEDIUM",FALSE,"BOOST_ANALYTICAL","Increase = (80-45)/45 × 100 = 35/45 × 100 = 77.8% ≈ 78%. Data interpretation is crucial for business analytics finance and engineering roles."
APG10_CA_03,APTIPATH,V3,GRADE_10,CORE_APTITUDE,FILL_BLANK,APPLY,"Rs.10000 invested at 10% compound interest per annum. The total amount after 2 years is Rs.___","12100","12000","11000","12200","N/A","A",4,90,"CORRECT=FINANCE_APTITUDE+BUSINESS","MEDIUM",FALSE,"BOOST_BUSINESS","A = P(1+r)^n = 10000 × (1.10)² = 10000 × 1.21 = Rs.12100. Compound interest is the foundation of all financial planning and investment."
APG10_CA_04,APTIPATH,V3,GRADE_10,CORE_APTITUDE,MCQ,ANALYZE,"A bag contains 3 red 4 blue and 5 green balls. If one ball is drawn randomly the probability of drawing a blue ball is:","1/4","1/3","4/5","1/2","N/A","B",4,75,"CORRECT=PROBABILITY+ANALYTICAL","MEDIUM",FALSE,"BOOST_STEM","Total balls = 3+4+5 = 12. P(blue) = 4/12 = 1/3. Probability is essential for AI data science actuarial science and research."
APG10_CA_05,APTIPATH,V3,GRADE_10,CORE_APTITUDE,MCQ,APPLY,"The distance between points (0,0) and (3,4) on a coordinate plane is:","7","5","4","6","N/A","B",3,60,"CORRECT=MATH_APTITUDE+ENGINEERING","MEDIUM",FALSE,"BOOST_STEM","Distance = √(3² + 4²) = √(9+16) = √25 = 5. Coordinate geometry is the bridge between algebra and real-world spatial applications."
APG10_CA_06,APTIPATH,V3,GRADE_10,CORE_APTITUDE,MCQ,ANALYZE,"In a school 60 students play cricket and 40 play football. 20 play both. How many students play AT LEAST one sport?","100","90","80","70","N/A","C",4,75,"CORRECT=ANALYTICAL+DATA","MEDIUM",FALSE,"BOOST_ANALYTICAL","Using inclusion-exclusion: 60+40-20 = 80 play at least one sport. Venn diagram logic is used in data analysis business intelligence and set theory."
APG10_CA_07,APTIPATH,V3,GRADE_10,CORE_APTITUDE,FILL_BLANK,APPLY,"In a right triangle if the side opposite to angle θ is 3 and the hypotenuse is 5 then sin(θ) = ___","0.6","0.8","0.5","0.75","N/A","A",4,75,"CORRECT=TRIG_APTITUDE+ENGINEERING+PCM","MEDIUM",FALSE,"BOOST_STEM+PCM","sin(θ) = opposite/hypotenuse = 3/5 = 0.6. Trigonometry is the language of physics engineering architecture and navigation."
APG10_CA_08,APTIPATH,V3,GRADE_10,CORE_APTITUDE,MCQ,APPLY,"A town's population of 50000 grows at 5% per year. After 1 year the population is:","52500","55000","50500","53000","N/A","A",3,60,"CORRECT=MATH_APTITUDE+ANALYTICAL","EASY",FALSE,"BOOST_ANALYTICAL","Population = 50000 × 1.05 = 52500. Growth rate calculations apply to economics demography epidemiology and business forecasting."
APG10_CA_09,APTIPATH,V3,GRADE_10,CORE_APTITUDE,MCQ,ANALYZE,"Two trains start simultaneously from stations 300km apart moving toward each other at 60km/h and 90km/h. They meet after:","1.5 hours","2 hours","2.5 hours","3 hours","N/A","B",4,75,"CORRECT=MATH_APTITUDE+ENGINEERING","MEDIUM",FALSE,"BOOST_STEM","Relative speed = 60+90 = 150 km/h. Time = 300/150 = 2 hours. Relative motion problems are core to physics and engineering."
APG10_CA_10,APTIPATH,V3,GRADE_10,CORE_APTITUDE,MCQ,ANALYZE,"How many prime numbers exist between 20 and 40?","3","4","5","6","N/A","B",4,75,"CORRECT=NUMBER_THEORY+ANALYTICAL","HARD",FALSE,"BOOST_REASONING","Primes between 20-40: 23 29 31 37 → exactly 4. Number theory is the foundation of cryptography and computer science."
