sequence_no,chapter,question_type,difficulty_level,max_marks,question_text,correct_answer,question_image,options_json
1,Basic Geometrical Ideas,multiple_choice,Easy,1,Which figure has one endpoint and extends in one direction?,Ray,/session_materials/35/images/g6_math_img_q01.svg,"[{""option_text"": ""Line"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Ray"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Line Segment"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Circle"", ""is_correct"": false, ""option_image"": """"}]"
2,Basic Geometrical Ideas,multiple_choice,Easy,1,Which figure has two endpoints?,Line Segment,/session_materials/35/images/g6_math_img_q02.svg,"[{""option_text"": ""Line"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Ray"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Line Segment"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Angle"", ""is_correct"": false, ""option_image"": """"}]"
3,Understanding Elementary Shapes,multiple_choice,Easy,1,How many sides does the pentagon in the image have?,5,/session_materials/35/images/g6_math_img_q03.svg,"[{""option_text"": ""4"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""5"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""6"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}]"
4,Understanding Elementary Shapes,multiple_choice,Easy,1,How many sides does the hexagon in the image have?,6,/session_materials/35/images/g6_math_img_q04.svg,"[{""option_text"": ""5"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""6"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""7"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""8"", ""is_correct"": false, ""option_image"": """"}]"
5,Lines and Angles,multiple_choice,Easy,1,Which angle type is marked in blue?,Acute,/session_materials/35/images/g6_math_img_q05.svg,"[{""option_text"": ""Acute"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Right"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Obtuse"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Straight"", ""is_correct"": false, ""option_image"": """"}]"
6,Lines and Angles,multiple_choice,Easy,1,Which angle type is marked in red?,Obtuse,/session_materials/35/images/g6_math_img_q06.svg,"[{""option_text"": ""Acute"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Right"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Obtuse"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Reflex"", ""is_correct"": false, ""option_image"": """"}]"
7,Three-Dimensional Shapes,multiple_choice,Easy,1,Which shown solid has only one curved surface and no edges?,Sphere,/session_materials/35/images/g6_math_img_q07.svg,"[{""option_text"": ""Cube"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cylinder"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Sphere"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Cuboid"", ""is_correct"": false, ""option_image"": """"}]"
8,Three-Dimensional Shapes,multiple_choice,Easy,1,Which shown solid has two circular faces?,Cylinder,/session_materials/35/images/g6_math_img_q08.svg,"[{""option_text"": ""Cube"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cylinder"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Sphere"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cone"", ""is_correct"": false, ""option_image"": """"}]"
9,Playing with Constructions,multiple_choice,Medium,1,Can the net shown fold into a cube?,Yes,/session_materials/35/images/g6_math_img_q09.svg,"[{""option_text"": ""Yes"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""No"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Only with extra flap"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Cannot say"", ""is_correct"": false, ""option_image"": """"}]"
10,Playing with Constructions,fill_in_blank,Easy,1,Fill in the blank: A cube has ____ faces.,6,/session_materials/35/images/g6_math_img_q10.svg,[]
11,Constructions,multiple_choice,Medium,1,"In the construction image, the red arc intersection point is:",Equidistant from A and B,/session_materials/35/images/g6_math_img_q11.svg,"[{""option_text"": ""Closer to A"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Closer to B"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Equidistant from A and B"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Outside the figure"", ""is_correct"": false, ""option_image"": """"}]"
12,Constructions,short_answer,Medium,2,AB is joined to the top arc intersection using two segments. What is relation between these two segment lengths?,Equal,/session_materials/35/images/g6_math_img_q12.svg,[]
13,Symmetry,fill_in_blank,Easy,1,Fill in the blank: The square shown has ____ lines of symmetry.,4,/session_materials/35/images/g6_math_img_q13.svg,[]
