Section,Question_ID,Grade_Band,Question_Text,Type,Tags,Adaptivity_Notes
Aptitude,AP-G8-A-01,GRADE_8,What is 25% of 160? A) 30 B) 35 C) 40 D) 45,MCQ,"aptitude,grade_8,numeric,foundation",grade_8_foundation
Aptitude,AP-G8-A-02,GRADE_8,If 3 notebooks cost Rs 45 then 5 notebooks cost? A) Rs 60 B) Rs 70 C) Rs 75 D) Rs 80,MCQ,"aptitude,grade_8,arithmetic",grade_8_ratio
Aptitude,AP-G8-A-03,GRADE_8,In the ratio 2:3 the first number is 18. What is the second number? A) 24 B) 27 C) 30 D) 36,MCQ,"aptitude,grade_8,ratio",grade_8_ratio
Aptitude,AP-G8-A-04,GRADE_8,Find the average of 12 15 and 18. A) 14 B) 15 C) 16 D) 17,MCQ,"aptitude,grade_8,numeric",grade_8_average
Aptitude,AP-G8-A-05,GRADE_8,A bike moves at 60 km per hour for 2.5 hours. Distance covered? A) 120 km B) 135 km C) 150 km D) 165 km,MCQ,"aptitude,grade_8,speed_distance",grade_8_application
Aptitude,AP-G8-A-06,GRADE_8,Perimeter of a square with side 9 cm is? A) 27 cm B) 32 cm C) 36 cm D) 40 cm,MCQ,"aptitude,grade_8,geometry",grade_8_geometry
Aptitude,AP-G8-A-07,GRADE_8,Simple interest on Rs 5000 at 10% per year for 2 years is? A) Rs 500 B) Rs 750 C) Rs 1000 D) Rs 1200,MCQ,"aptitude,grade_8,finance",grade_8_finance
Aptitude,AP-G8-A-08,GRADE_8,What is 3 x (4 + 5) - 6 ? A) 15 B) 18 C) 21 D) 24,MCQ,"aptitude,grade_8,operations",grade_8_operations
Reasoning,AP-G8-R-01,GRADE_8,Find the next number: 2 4 8 16 ? A) 18 B) 24 C) 30 D) 32,MCQ,"reasoning,grade_8,series",grade_8_logic
Reasoning,AP-G8-R-02,GRADE_8,Which is the odd one out? A) Triangle B) Square C) Circle D) Cube,MCQ,"reasoning,grade_8,classify",grade_8_logic
Reasoning,AP-G8-R-03,GRADE_8,If CAT is coded as DBU then DOG is coded as? A) EPH B) EOG C) DPH D) EPG,MCQ,"reasoning,grade_8,coding",grade_8_pattern
Reasoning,AP-G8-R-04,GRADE_8,A student faces North then turns right and then right again. Which direction now? A) North B) East C) South D) West,MCQ,"reasoning,grade_8,direction",grade_8_spatial
Reasoning,AP-G8-R-05,GRADE_8,Book is to Read as Food is to? A) Throw B) Eat C) Smell D) Grow,MCQ,"reasoning,grade_8,analogy",grade_8_verbal
Reasoning,AP-G8-R-06,GRADE_8,What comes next: Monday Wednesday Friday ? A) Saturday B) Sunday C) Monday D) Tuesday,MCQ,"reasoning,grade_8,sequence",grade_8_pattern
Reasoning,AP-G8-R-07,GRADE_8,All roses are flowers. Some flowers are red. Which statement must be true? A) All flowers are roses B) Some roses may be red C) No flowers are red D) All red things are roses,MCQ,"reasoning,grade_8,syllogism",grade_8_logic
Reasoning,AP-G8-R-08,GRADE_8,Choose the mirror pair style: LEFT : RIGHT :: UP : ? A) DOWN B) TOP C) SKY D) FRONT,MCQ,"reasoning,grade_8,analogy,spatial",grade_8_spatial
Aptitude,AP-G9-A-01,GRADE_9,Solve for x: 3x + 5 = 23. A) 4 B) 5 C) 6 D) 7,MCQ,"aptitude,grade_9,algebra",grade_9_algebra
Aptitude,AP-G9-A-02,GRADE_9,An item marked Rs 800 has 15% discount. Sale price is? A) Rs 640 B) Rs 660 C) Rs 680 D) Rs 700,MCQ,"aptitude,grade_9,percentage",grade_9_commerce
Aptitude,AP-G9-A-03,GRADE_9,Cost price is Rs 500 and selling price is Rs 575. Profit percent is? A) 10% B) 12% C) 15% D) 18%,MCQ,"aptitude,grade_9,profit_loss",grade_9_commerce
Aptitude,AP-G9-A-04,GRADE_9,Simple interest on Rs 4000 at 8% per year for 3 years is? A) Rs 840 B) Rs 900 C) Rs 960 D) Rs 1040,MCQ,"aptitude,grade_9,finance",grade_9_finance
Aptitude,AP-G9-A-05,GRADE_9,If 5 workers finish a job in 6 days then 10 workers will finish it in? A) 2 days B) 3 days C) 4 days D) 5 days,MCQ,"aptitude,grade_9,time_work",grade_9_application
Aptitude,AP-G9-A-06,GRADE_9,Average of first five odd numbers is? A) 3 B) 4 C) 5 D) 6,MCQ,"aptitude,grade_9,average",grade_9_number_sense
Aptitude,AP-G9-A-07,GRADE_9,Area of triangle with base 12 cm and height 9 cm is? A) 42 sq cm B) 48 sq cm C) 54 sq cm D) 60 sq cm,MCQ,"aptitude,grade_9,geometry",grade_9_geometry
Aptitude,AP-G9-A-08,GRADE_9,If 2/5 of a number is 18 then the number is? A) 40 B) 42 C) 45 D) 50,MCQ,"aptitude,grade_9,fractions",grade_9_algebra
Reasoning,AP-G9-R-01,GRADE_9,Find the next number: 3 6 12 24 ? A) 30 B) 36 C) 42 D) 48,MCQ,"reasoning,grade_9,series",grade_9_logic
Reasoning,AP-G9-R-02,GRADE_9,If BIRD is coded as CJSE then FISH is coded as? A) GJTI B) GJSH C) FJTI D) HJTI,MCQ,"reasoning,grade_9,coding",grade_9_pattern
Reasoning,AP-G9-R-03,GRADE_9,Rahul says She is the daughter of my mother's brother. She is Rahul's? A) Sister B) Niece C) Cousin D) Aunt,MCQ,"reasoning,grade_9,blood_relation",grade_9_relations
Reasoning,AP-G9-R-04,GRADE_9,All pens are books. Some books are blue. Which is definitely true? A) All pens are blue B) Some pens may be blue C) No books are blue D) All books are pens,MCQ,"reasoning,grade_9,syllogism",grade_9_logic
Reasoning,AP-G9-R-05,GRADE_9,At 3:00 what is the angle between hour and minute hands? A) 60 degree B) 75 degree C) 90 degree D) 120 degree,MCQ,"reasoning,grade_9,clock",grade_9_spatial
Reasoning,AP-G9-R-06,GRADE_9,A person faces East then turns left then right then right. Final direction is? A) North B) South C) East D) West,MCQ,"reasoning,grade_9,direction",grade_9_spatial
Reasoning,AP-G9-R-07,GRADE_9,Choose correct order: Seed Plant Tree Fruit. A) Seed Plant Tree Fruit B) Fruit Tree Plant Seed C) Plant Seed Fruit Tree D) Seed Tree Plant Fruit,MCQ,"reasoning,grade_9,ordering",grade_9_sequence
Reasoning,AP-G9-R-08,GRADE_9,Statement: Students need practice to improve math. Assumption: Practice helps performance. A) Assumption follows B) Assumption does not follow C) Data insufficient D) Both impossible,MCQ,"reasoning,grade_9,critical",grade_9_inference
Aptitude,AP-G10-A-01,GRADE_10,For x^2 - 7x + 10 = 0 what is sum of roots? A) 5 B) 7 C) 10 D) 12,MCQ,"aptitude,grade_10,algebra",grade_10_algebra
Aptitude,AP-G10-A-02,GRADE_10,Probability of getting an even number on one fair die roll is? A) 1/6 B) 1/3 C) 1/2 D) 2/3,MCQ,"aptitude,grade_10,probability",grade_10_statistics
Aptitude,AP-G10-A-03,GRADE_10,A can do a job in 12 days and B in 18 days. Together they do it in? A) 6 days B) 7.2 days C) 8 days D) 9 days,MCQ,"aptitude,grade_10,time_work",grade_10_application
Aptitude,AP-G10-A-04,GRADE_10,Solve: 2x + y = 11 and x - y = 1. Value of x is? A) 3 B) 4 C) 5 D) 6,MCQ,"aptitude,grade_10,simultaneous_equations",grade_10_algebra
Aptitude,AP-G10-A-05,GRADE_10,In a right triangle if opposite side is 3 and hypotenuse is 5 then sin theta is? A) 2/5 B) 3/5 C) 4/5 D) 5/3,MCQ,"aptitude,grade_10,trigonometry",grade_10_geometry
