career_cluster,career_name,relevance_at_grade_8,key_signals_from_assessment,section_emphasis,exploration_activities,early_indicator_questions,role_model_example
TECH,AI Engineer,HIGH,"High CORE_APTITUDE pattern + REASONING_IQ + AI_READINESS 3-4/4 + LIKERT tech 4-5","CORE_APTITUDE + AI_READINESS + REASONING_IQ","Learn Scratch/Python basics; Build simple chatbot; Join coding club","APG8_CA_01 (sequence) APG8_AIR_01-04 APG8_RIQ_01-04","Sundar Pichai (Google CEO)"
TECH,Software Developer,HIGH,"Strong pattern recognition + coding logic in FILL_BLANK + ANALYTICAL SITUATIONAL","CORE_APTITUDE + APPLIED_CHALLENGE + REASONING_IQ","Learn Python/Scratch; Solve puzzles on code.org; Build simple games","APG8_CA_05 (reverse) APG8_CA_09 (pattern) APG8_RIQ_01 (coding)","Parag Agrawal (ex-Twitter CTO)"
TECH,Data Scientist,MEDIUM,"Math aptitude (ratio/percentage) + data interpretation + ANALYTICAL preference","CORE_APTITUDE + STEM_FOUNDATION","Practice mental math; Learn Excel basics; Analyze sports stats","APG8_CA_04 (classification) APG8_SF_02 (area)","DJ Patil (first US Chief Data Scientist)"
TECH,Cybersecurity Analyst,MEDIUM,"Logical reasoning + pattern detection + ethical decision SITUATIONAL","REASONING_IQ + APPLIED_CHALLENGE + VALUES_MOTIVATION","Learn about online safety; Try basic coding puzzles; Join cyber awareness clubs","APG8_RIQ_01 (coding logic) APG8_AC_02 (ethics)","Anand Prakash (Indian bug bounty pioneer)"
TECH,Prompt Engineer,LOW,"Creative thinking + language skills + tech curiosity","AI_READINESS + INTEREST_WORK","Write creative stories; Try ChatGPT experiments; Build prompt collections","APG8_AIR_01-04 APG8_IW_04 (creative)","Emerging field — no established role models yet"
HEALTH,Doctor (MBBS/MD),MEDIUM,"Biology curiosity (LIKERT 4-5) + empathy SITUATIONAL + detail orientation","INTEREST_WORK + LEARNING_BEHAVIOR + STEM_FOUNDATION","Read about human body; Watch biology documentaries; Volunteer at health camps","APG8_IW_03 (nature/body) APG8_IW_07 (empathy) APG8_SF_01 (photosynthesis)","Dr. Devi Shetty (Narayana Health founder)"
HEALTH,Psychologist/Counselor,MEDIUM,"High empathy (LIKERT 4-5) + listening preference + SOCIAL cluster","INTEREST_WORK + VALUES_MOTIVATION","Read stories about feelings; Practice active listening; Journal writing","APG8_IW_07 (empathy vs math) APG8_AC_06 (new student) APG8_VM_01 (help others)","Dr. Shyam Bhat (Indian psychiatrist)"
HEALTH,Veterinary Scientist,MEDIUM,"Animal/nature love + science curiosity + hands-on interest","INTEREST_WORK + STEM_FOUNDATION","Care for pets; Visit farms/zoos; Learn about animal anatomy","APG8_CR_02 (Srishti animals) APG8_IW_03 (nature)","Dr. Shiranee Pereira (marine vet)"
GREEN,Environmental Engineer,MEDIUM,"Eco-awareness + systems thinking + APPLIED_CHALLENGE green scenarios","APPLIED_CHALLENGE + VALUES_MOTIVATION + STEM_FOUNDATION","Plant trees; Track local weather; Build rainwater harvesting model","APG8_AC_04 (water shortage) APG8_AC_08 (eco bag) APG8_GA_05 (renewable)","Arunachalam Muruganantham (Padman inventor)"
GREEN,Sustainability Analyst,LOW,"Green awareness + data analysis interest + ethical values","VALUES_MOTIVATION + AI_READINESS","Research local pollution; Track family electricity usage; Join eco clubs","APG8_GA_05 (renewable) APG8_VM_06 (impact vs salary)","Vandana Shiva (environmental activist)"
ENGINEERING,Mechanical Engineer,HIGH,"Tinkering interest (LIKERT 4-5) + math aptitude + hands-on building","INTEREST_WORK + STEM_FOUNDATION + CORE_APTITUDE","Build models/crafts; Take apart gadgets; Learn about simple machines","APG8_IW_02 (machines) APG8_AC_05 (bridge) APG8_CR_04 (Arjun)","CV Raman (Nobel laureate)"
ENGINEERING,Civil Engineer,MEDIUM,"Spatial thinking + design interest + math foundation","STEM_FOUNDATION + REASONING_IQ + APPLIED_CHALLENGE","Build structures with blocks; Sketch building designs; Visit construction sites","APG8_RIQ_04 (directions) APG8_AC_05 (bridge) APG8_SF_02 (area)","M. Visvesvaraya (engineer statesman)"
ENGINEERING,Robotics Engineer,HIGH,"Tech+tinkering combo + coding interest + problem-solving drive","INTEREST_WORK + AI_READINESS + STEM_FOUNDATION","Join robotics club; Build with Lego Mindstorms; Learn Arduino basics","APG8_IW_02 (machines) APG8_IW_05 (robots career sort) APG8_AIR_04 (smart system)","Manish Kumar (Indian Robotics Society)"
CREATIVE,Graphic Designer,MEDIUM,"Strong visual-creative interest (LIKERT 4-5) + design thinking","INTEREST_WORK + APPLIED_CHALLENGE","Draw daily; Learn Canva/Figma; Create posters for school events","APG8_IW_04 (design) APG8_IW_05 (video game characters) APG8_IW_01 (drawing rank)","Satyajit Ray (filmmaker/designer)"
CREATIVE,Content Creator,MEDIUM,"Writing/storytelling interest + communication skills + digital comfort","INTEREST_WORK + LEARNING_BEHAVIOR","Write stories/blogs; Start a journal; Create simple videos","APG8_IW_01 (story rank) APG8_IW_05 (writing career sort)","Dhruv Rathee (content creator)"
BUSINESS,Entrepreneur,MEDIUM,"Financial planning + initiative + leadership SITUATIONAL","APPLIED_CHALLENGE + VALUES_MOTIVATION + CORE_APTITUDE","Run a small school stall; Save pocket money; Track expenses","APG8_AC_07 (savings plan) APG8_VM_04 (innovation) APG8_CA_06 (money math)","Ritesh Agarwal (OYO founder started at 17)"
BUSINESS,Chartered Accountant,LOW,"Math accuracy + detail orientation + financial thinking","CORE_APTITUDE + LEARNING_BEHAVIOR","Practice arithmetic speed; Manage a small budget; Learn about money","APG8_CA_03 (wheels) APG8_CA_08 (cost) APG8_LB_03 (detail oriented)","Nirmala Sitharaman (Finance Minister CA background)"
SOCIAL,Teacher/Educator,MEDIUM,"Teaching others preference + empathy + patience indicators","LEARNING_BEHAVIOR + VALUES_MOTIVATION + INTEREST_WORK","Help classmates study; Explain concepts to younger students; Tutor siblings","APG8_LB_01 (teach others) APG8_IW_05 (teaching career sort) APG8_VM_01 (help)","APJ Abdul Kalam (teacher-president)"
SOCIAL,Social Worker,MEDIUM,"Strong social justice values + empathy + community orientation","VALUES_MOTIVATION + INTEREST_WORK","Volunteer at local NGOs; Organize community clean-ups; Visit old age homes","APG8_VM_01 (help others) APG8_VM_03 (fairness) APG8_AC_06 (new student)","Kailash Satyarthi (Nobel laureate)"
LAW,Lawyer/Judge,MEDIUM,"Fairness orientation (LIKERT 4-5) + logical reasoning + debate interest","VALUES_MOTIVATION + REASONING_IQ + CORE_APTITUDE","Join debate club; Read about famous court cases; Practice logical arguments","APG8_VM_03 (fairness) APG8_RIQ_02 (family logic) APG8_VM_05 (assertive fair)","Fali Sam Nariman (legendary lawyer)"
LAW,Policy Analyst,LOW,"Social awareness + analytical thinking + research interest","VALUES_MOTIVATION + CORE_APTITUDE + GENERAL_AWARENESS","Follow news; Discuss current events; Write opinion pieces","APG8_GA_01-06 (awareness) APG8_VM_06 (impact) APG8_LB_02 (curiosity)","Jayaprakash Narayan (Lok Satta founder)"
